Typical Measured Spectrum of Semrock BLP01-568R Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6,5) are measurement noise limited,
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5,5) are measurement noise limited, 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
668,6635	0,979990174052558
668,8295	0,980350268617136
668,9945	0,980255106800794
669,1605	0,980240392007943
669,3265	0,980373192627618
669,4925	0,980163913907925
669,6585	0,980231174399726
669,8235	0,980468356248212
669,9895	0,980782126073686
670,1555	0,980721053004608
670,3215	0,980945132902356
670,487	0,981123640794684
670,6525	0,981310447603429
670,8185	0,981257181988258
670,9845	0,981284789133827
671,1505	0,981690280107568
671,3155	0,981713232441599
671,4815	0,982634251727548
671,6475	0,983122539249468
671,8135	0,983145069507426
671,9785	0,983600043043034
672,1445	0,984204041898503
672,3105	0,984634094811822
672,476	0,984454855981966
672,6415	0,984962819632039
672,8075	0,985165866882837
672,966	0,987117415458908
673,0745	0,990474176322509
673,241	0,990677081778893
673,4075	0,991208925672942
673,5745	0,991525311113701
673,741	0,991874897873653
673,9075	0,992413865238881
674,0745	0,992334138220982
674,241	0,993023239601332
674,4075	0,992526309676518
674,5745	0,992741049301963
674,7405	0,993054457718119
674,9075	0,993190591936494
675,074	0,993137271496598
